gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-68.0000,-5.0000,68.0000,0.0171,-0.0090,0.9731
-67.0000,-11.0000,53.0000,0.0186,-0.0068,0.9666
-67.0000,18.0000,63.0000,0.0305,-0.0037,0.9707
-62.0000,26.0000,55.0000,0.0239,-0.0068,0.9700
-73.0000,-4.0000,30.0000,0.0117,-0.0066,0.9773
-65.0000,30.0000,59.0000,0.0176,-0.0090,0.9822
-22.0000,53.0000,69.0000,0.0178,-0.0107,0.9805
-102.0000,3.0000,56.0000,0.0183,-0.0046,0.9717
-55.0000,-255.0000,60.0000,0.0220,-0.0071,0.9763
-80.0000,19.0000,83.0000,0.0220,-0.0073,0.9729
-78.0000,23.0000,69.0000,0.0137,-0.0110,0.9692
-68.0000,25.0000,48.0000,0.0220,-0.0044,0.9763
-56.0000,2.0000,54.0000,0.0208,-0.0127,0.9692
-61.0000,254.0000,57.0000,0.0195,-0.0090,0.9819
-63.0000,22.0000,74.0000,0.0188,-0.0042,0.9800
-64.0000,18.0000,51.0000,0.0142,0.0010,0.9810
-80.0000,5.0000,59.0000,0.0190,-0.0090,0.9695
-51.0000,41.0000,68.0000,0.0037,-0.0110,0.9780
-38.0000,9.0000,97.0000,0.0237,-0.0039,0.9812
-39.0000,11.0000,51.0000,0.0164,-0.0081,0.9746
-77.0000,22.0000,65.0000,0.0190,-0.0068,0.9722
-58.0000,42.0000,56.0000,0.0171,-0.0029,0.9724
-57.0000,22.0000,91.0000,0.0210,-0.0054,0.9702
-69.0000,22.0000,46.0000,0.0164,-0.0085,0.9714
-63.0000,33.0000,64.0000,0.0200,-0.0042,0.9851
-74.0000,29.0000,72.0000,0.0178,-0.0066,0.9749
-61.0000,15.0000,69.0000,0.0298,-0.0024,0.9746
-76.0000,252.0000,62.0000,0.0156,-0.0049,0.9673
-63.0000,35.0000,94.0000,0.0005,-0.0081,0.9744
-60.0000,22.0000,75.0000,0.0178,-0.0020,0.9771
-69.0000,21.0000,62.0000,0.0239,-0.0061,0.9780
-81.0000,36.0000,94.0000,0.0186,-0.0049,0.9690
-72.0000,18.0000,75.0000,0.0247,-0.0095,0.9768
-90.0000,17.0000,56.0000,0.0159,-0.0066,0.9746
-50.0000,21.0000,97.0000,0.0193,-0.0007,0.9790
-68.0000,40.0000,72.0000,0.0234,-0.0093,0.9741
-77.0000,14.0000,63.0000,0.0291,-0.0103,0.9768
-72.0000,28.0000,56.0000,0.0198,-0.0054,0.9700
-47.0000,6.0000,94.0000,0.0005,-0.0210,0.9712
-51.0000,21.0000,84.0000,0.0195,-0.0149,0.9780
-52.0000,23.0000,91.0000,0.0154,-0.0100,0.9744
-84.0000,27.0000,54.0000,0.0281,-0.0063,0.9658
-63.0000,18.0000,72.0000,0.0149,-0.0051,0.9773
-78.0000,4.0000,68.0000,0.0249,-0.0081,0.9702
-67.0000,25.0000,53.0000,0.0193,-0.0024,0.9531
-67.0000,32.0000,65.0000,0.0242,-0.0032,0.9690
-59.0000,17.0000,61.0000,0.0210,-0.0042,0.9734
-79.0000,251.0000,46.0000,0.0168,-0.0044,0.9751
-82.0000,20.0000,40.0000,0.0171,-0.0034,0.9707
-75.0000,33.0000,52.0000,0.0205,-0.0059,0.9717
-60.0000,29.0000,61.0000,0.0188,-0.0105,0.9653
-57.0000,7.0000,66.0000,0.0178,-0.0076,0.9734
-52.0000,47.0000,84.0000,0.0161,-0.0010,0.9744
-45.0000,21.0000,55.0000,0.0188,-0.0059,0.9692
-81.0000,-247.0000,77.0000,0.0210,-0.0117,0.9722
-45.0000,32.0000,52.0000,0.0186,-0.0044,0.9651
-62.0000,30.0000,85.0000,0.0156,-0.0044,0.9768
-85.0000,43.0000,57.0000,0.0020,-0.0139,0.9734
-86.0000,22.0000,24.0000,0.0247,-0.0156,0.9829
-59.0000,29.0000,75.0000,0.0198,-0.0090,0.9753
-66.0000,32.0000,71.0000,0.0149,-0.0044,0.9741
-87.0000,9.0000,77.0000,0.0208,-0.0073,0.9744
-56.0000,21.0000,50.0000,0.0222,-0.0029,0.9688
-67.0000,11.0000,30.0000,0.0220,0.0000,0.9836
-66.0000,3.0000,46.0000,0.0188,-0.0071,0.9756
-76.0000,20.0000,3.0000,0.0227,-0.0059,0.9749
-78.0000,18.0000,59.0000,0.0203,-0.0063,0.9751
-72.0000,19.0000,66.0000,0.0195,-0.0107,0.9773
-51.0000,248.0000,60.0000,0.0220,-0.0051,0.9780
-49.0000,31.0000,51.0000,0.0210,-0.0046,0.9780
-53.0000,-240.0000,56.0000,0.0264,-0.0015,0.9644
-66.0000,30.0000,61.0000,0.0195,-0.0088,0.9705
-45.0000,52.0000,51.0000,0.0178,-0.0090,0.9753
-81.0000,26.0000,52.0000,0.0264,0.0125,0.9839
-54.0000,7.0000,39.0000,0.0217,-0.0081,0.9570
-67.0000,12.0000,74.0000,0.0242,-0.0032,0.9744
-98.0000,23.0000,78.0000,0.0164,-0.0088,0.9697
-78.0000,28.0000,60.0000,0.0139,-0.0156,0.9812
-70.0000,5.0000,69.0000,0.0098,-0.0085,0.9805
-81.0000,15.0000,43.0000,0.0156,-0.0095,0.9741
-49.0000,25.0000,107.0000,0.0212,-0.0073,0.9797
-55.0000,41.0000,59.0000,0.0205,-0.0081,0.9761
-67.0000,23.0000,66.0000,0.0198,-0.0039,0.9714
-74.0000,45.0000,86.0000,0.0178,-0.0066,0.9761
-74.0000,13.0000,82.0000,0.0303,-0.0061,0.9766
-57.0000,-249.0000,84.0000,0.0215,-0.0020,0.9744
-66.0000,2.0000,74.0000,0.0234,-0.0059,0.9697
-83.0000,11.0000,32.0000,0.0200,-0.0100,0.9768
-46.0000,10.0000,110.0000,0.0276,-0.0007,0.9741
-77.0000,30.0000,62.0000,0.0168,-0.0078,0.9836
-47.0000,17.0000,92.0000,0.0220,-0.0115,0.9753
-66.0000,6.0000,51.0000,0.0210,-0.0049,0.9746
-69.0000,253.0000,74.0000,0.0303,-0.0085,0.9807
-65.0000,58.0000,81.0000,0.0198,-0.0034,0.9746
-50.0000,25.0000,70.0000,0.0166,0.0005,0.9736
-83.0000,30.0000,82.0000,0.0063,-0.0056,0.9749
-48.0000,14.0000,62.0000,0.0220,-0.0012,0.9758
-95.0000,16.0000,54.0000,0.0254,-0.0066,0.9734
-84.0000,252.0000,68.0000,0.0176,-0.0049,0.9775
-47.0000,33.0000,51.0000,0.0020,-0.0034,0.9731
-45.0000,24.0000,51.0000,0.0293,-0.0042,0.9766
-80.0000,45.0000,74.0000,0.0251,-0.0071,0.9548
-82.0000,251.0000,74.0000,0.0171,-0.0112,0.9822
-70.0000,30.0000,78.0000,0.0144,-0.0073,0.9697
-57.0000,31.0000,74.0000,0.0178,-0.0078,0.9702
-61.0000,26.0000,72.0000,0.0232,-0.0146,0.9688
-35.0000,32.0000,65.0000,0.0210,-0.0156,0.9824
-77.0000,32.0000,59.0000,0.0193,-0.0054,0.9785
-69.0000,13.0000,32.0000,0.0225,-0.0002,0.9998
-36.0000,23.0000,74.0000,0.0166,-0.0032,0.9763
-63.0000,14.0000,50.0000,0.0198,-0.0107,0.9792
-86.0000,19.0000,51.0000,0.0200,-0.0100,0.9722
-69.0000,38.0000,62.0000,0.0266,-0.0056,0.9741
-63.0000,9.0000,72.0000,0.0200,-0.0061,0.9741
-36.0000,42.0000,87.0000,0.0188,-0.0029,0.9534
-72.0000,19.0000,52.0000,0.0149,-0.0061,0.9756
-54.0000,27.0000,42.0000,0.0200,-0.0090,0.9663
-44.0000,21.0000,53.0000,0.0168,-0.0042,0.9717
-55.0000,7.0000,67.0000,0.0154,-0.0027,0.9741
-55.0000,16.0000,83.0000,0.0188,-0.0061,0.9746
-80.0000,15.0000,16.0000,0.0220,-0.0051,0.9773
-64.0000,25.0000,34.0000,0.0139,-0.0039,0.9702
-57.0000,17.0000,71.0000,0.0161,-0.0093,0.9734
-63.0000,24.0000,79.0000,0.0183,-0.0039,0.9802
