comment,45 degrees Left
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
43.0000,5455.0000,16.0000,0.7776,-0.0186,0.6467
44.0000,5679.0000,-25.0000,0.7473,-0.0308,0.6738
53.0000,5803.0000,249.0000,0.7122,-0.0244,0.6887
61.0000,5243.0000,25.0000,0.6621,-0.0310,0.7651
28.0000,5216.0000,-4.0000,0.6528,-0.0212,0.7563
6.0000,6357.0000,206.0000,0.6196,-0.0271,0.7944
471.0000,7968.0000,541.0000,0.5693,-0.0251,0.7991
301.0000,7072.0000,363.0000,0.5127,-0.0190,0.8535
203.0000,5610.0000,319.0000,0.4714,-0.0178,0.8601
122.0000,6058.0000,103.0000,0.4241,-0.0256,0.8916
196.0000,6366.0000,310.0000,0.3757,-0.0300,0.8979
130.0000,5412.0000,244.0000,0.3560,-0.0195,0.9319
35.0000,4053.0000,176.0000,0.3250,-0.0222,0.9382
8.0000,3002.0000,73.0000,0.2866,-0.0144,0.9404
255.0000,2863.0000,28.0000,0.2725,-0.0146,0.9397
-25.0000,2443.0000,30.0000,0.2480,-0.0266,0.9480
-8.0000,3203.0000,51.0000,0.2048,-0.0095,0.9631
-23.0000,2418.0000,58.0000,0.2131,-0.0017,0.9453
-29.0000,2651.0000,-23.0000,0.1897,-0.0134,0.9614
-11.0000,4145.0000,63.0000,0.1213,-0.0027,0.9434
24.0000,4361.0000,58.0000,0.1350,-0.0015,0.9624
254.0000,9863.0000,-152.0000,0.1440,-0.0278,0.9170
169.0000,890.0000,216.0000,-0.0405,0.0474,1.1033
-36.0000,80.0000,98.0000,0.0276,-0.0105,0.9819
-47.0000,29.0000,85.0000,0.0168,-0.0117,0.9829
-31.0000,47.0000,69.0000,0.0247,-0.0103,0.9731
-37.0000,70.0000,63.0000,0.0364,-0.0117,0.9644
-39.0000,40.0000,79.0000,0.0227,-0.0103,0.9636
-42.0000,48.0000,83.0000,0.0461,-0.0146,0.9768
-81.0000,12.0000,86.0000,0.0322,-0.0125,0.9722
-71.0000,18.0000,80.0000,0.0251,-0.0173,0.9778
-67.0000,253.0000,49.0000,0.0312,-0.0112,0.9705
-52.0000,46.0000,57.0000,0.0244,-0.0046,0.9707
1217.0000,2690.0000,9.0000,0.0459,-0.0010,0.9775
-213.0000,-356.0000,59.0000,0.0366,-0.0198,1.0579
-93.0000,-93.0000,115.0000,0.0283,-0.0037,0.9873
-83.0000,
