comment,90 degrees up
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-46.0000,42.0000,77.0000,0.0286,-0.0068,0.9775
7.0000,197.0000,63.0000,0.0276,-0.0090,0.9739
-30.0000,151.0000,59.0000,0.0452,-0.0066,0.9724
-54.0000,51.0000,71.0000,0.0198,-0.0115,0.9878
-106.0000,-58.0000,76.0000,0.0234,-0.0046,0.9802
-60.0000,128.0000,70.0000,0.0464,-0.0093,0.9639
92.0000,262.0000,67.0000,0.0269,-0.0105,0.9744
-346.0000,-383.0000,129.0000,0.0815,-0.0310,0.9727
-61.0000,-114.0000,77.0000,0.0029,-0.0054,0.9836
-79.0000,-55.0000,63.0000,0.0122,-0.0095,0.9834
-67.0000,-5.0000,36.0000,0.0232,-0.0039,0.9775
-75.0000,24.0000,84.0000,0.0117,-0.0054,0.9751
-88.0000,11.0000,60.0000,0.0229,-0.0100,0.9734
-60.0000,11.0000,68.0000,0.0242,-0.0046,0.9863
-67.0000,41.0000,72.0000,0.0242,-0.0073,0.9800
-68.0000,17.0000,46.0000,0.0178,-0.0034,0.9822
-68.0000,15.0000,79.0000,0.0195,-0.0085,0.9705
-66.0000,16.0000,89.0000,0.0171,-0.0027,0.9766
-49.0000,25.0000,53.0000,0.0210,-0.0081,0.9751
-38.0000,25.0000,109.0000,0.0227,-0.0049,0.9792
-66.0000,31.0000,59.0000,0.0217,-0.0095,0.9712
-64.0000,28.0000,43.0000,0.0215,-0.0103,0.9668
-75.0000,7.0000,67.0000,0.0164,-0.0112,0.9790
-84.0000,21.0000,63.0000,0.0215,-0.0100,0.9814
-57.0000,39.0000,63.0000,0.0132,-0.0046,0.9702
-76.0000,32.0000,76.0000,0.0198,-0.0095,0.9609
-55.0000,36.0000,58.0000,0.0217,-0.0034,0.9766
-66.0000,25.0000,66.0000,0.0112,-0.0076,0.9739
-63.0000,252.0000,84.0000,0.0181,-0.0078,0.9792
-72.0000,3.0000,56.0000,0.0195,-0.0061,0.9785
-99.0000,45.0000,26.0000,0.0215,-0.0093,0.9739
-50.0000,5.0000,71.0000,0.0254,-0.0022,0.9656
-83.0000,-23.0000,69.0000,0.0242,-0.0061,0.9917
-62.0000,23.0000,66.0000,0.0198,-0.0049,0.9812
-77.0000,16.0000,59.0000,0.0161,-0.0054,0.9775
-43.0000,7.0000,68.0000,0.0190,-0.0046,0.9712
-68.0000,24.0000,58.0000,0.0142,-0.0154,0.9683
-72.0000,7.0000,103.0000,0.0142,-0.0078,0.9731
-43.0000,23.0000,55.0000,0.0271,-0.0039,0.9727
-43.0000,5.0000,75.0000,0.0251,-0.0090,0.9663
-65.0000,28.0000,78.0000,0.0210,-0.0054,0.9688
-66.0000,37.0000,50.0000,0.0161,-0.0142,0.9666
-82.0000,23.0000,93.0000,0.0237,-0.0056,0.9673
-67.0000,26.0000,72.0000,0.0239,-0.0105,0.9810
-63.0000,-252.0000,81.0000,0.0227,-0.0049,0.9536
-65.0000,-247.0000,83.0000,0.0244,-0.0095,0.9744
-88.0000,27.0000,44.0000,0.0168,-0.0078,0.9780
-66.0000,15.0000,66.0000,0.0198,-0.0068,0.9834
-84.0000,1.0000,95.0000,0.0183,-0.0054,0.9741
-77.0000,29.0000,79.0000,0.0176,0.0115,0.9739
-73.0000,30.0000,68.0000,0.0239,-0.0046,0.9719
-70.0000,29.0000,109.0000,0.0227,-0.0020,0.9719
-37.0000,41.0000,61.0000,0.0286,-0.0073,0.9702
-51.0000,7.0000,45.0000,0.0178,-0.0032,0.9802
-69.0000,-256.0000,76.0000,0.0215,-0.0129,0.9751
-50.0000,45.0000,21.0000,0.0203,-0.0056,0.9688
-74.0000,11.0000,78.0000,0.0242,-0.0071,0.9714
-75.0000,28.0000,70.0000,0.0215,-0.0107,0.9771
-76.0000,21.0000,55.0000,0.0254,0.0073,0.9744
-57.0000,22.0000,44.0000,0.0256,-0.0105,0.9727
-82.0000,27.0000,61.0000,0.0254,-0.0010,0.9751
-71.0000,26.0000,34.0000,0.0259,-0.0095,0.9763
-49.0000,251.0000,64.0000,0.0183,-0.0068,0.9722
-67.0000,-256.0000,74.0000,0.0264,-0.0112,0.9768
-68.0000,255.0000,54.0000,0.0178,-0.0068,0.9736
-61.0000,39.0000,42.0000,0.0278,-0.0049,0.9741
-44.0000,34.0000,50.0000,0.0234,-0.0066,0.9719
-66.0000,13.0000,65.0000,0.0256,-0.0042,0.9651
-74.0000,27.0000,38.0000,0.0208,-0.0039,0.9810
-79.0000,14.0000,68.0000,0.0220,-0.0056,0.9714
-80.0000,13.0000,59.0000,0.0205,-0.0024,0.9834
-58.0000,-243.0000,93.0000,0.0244,-0.0066,0.9805
-80.0000,17.0000,64.0000,0.0212,0.0078,0.9775
-65.0000,32.0000,97.0000,0.0305,-0.0063,0.9829
-69.0000,20.0000,36.0000,0.0288,-0.0090,0.9836
-58.0000,253.0000,56.0000,0.0208,0.0088,0.9622
-76.0000,27.0000,67.0000,0.0171,-0.0066,0.9727
-93.0000,19.0000,59.0000,0.0178,-0.0076,0.9758
-72.0000,41.0000,47.0000,0.0195,-0.0012,0.9751
-85.0000,43.0000,58.0000,0.0195,-0.0100,0.9734
-68.0000,22.0000,54.0000,0.0222,-0.0051,0.9717
-67.0000,16.0000,62.0000,0.0222,-0.0012,0.9724
