comment,90 degrees Down
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-10239.0000,-2264.0000,511.0000,-0.0115,0.7866,0.4629
-7194.0000,-1530.0000,-161.0000,0.0437,0.7830,0.4543
-7279.0000,-771.0000,92.0000,0.0701,0.7566,0.5652
-6413.0000,-743.0000,419.0000,-0.0244,0.7002,0.5293
-6639.0000,68.0000,938.0000,0.0208,0.6853,0.6245
-12117.0000,-2089.0000,487.0000,0.0525,0.6848,0.6523
-9798.0000,789.0000,-66.0000,0.0669,0.5828,0.8186
-9031.0000,-485.0000,-341.0000,0.0278,0.5381,0.8379
-7141.0000,958.0000,-5.0000,0.0352,0.4697,0.8301
-5957.0000,1437.0000,328.0000,0.0151,0.4553,0.9026
-5947.0000,-653.0000,907.0000,0.0203,0.3684,0.8525
-5299.0000,1104.0000,931.0000,0.0325,0.3516,0.8940
-5855.0000,77.0000,867.0000,0.0288,0.3193,0.9312
-4881.0000,881.0000,513.0000,0.0610,0.2524,0.9299
-4383.0000,-69.0000,16.0000,0.0320,0.2390,0.9380
-4330.0000,658.0000,291.0000,0.0466,0.2175,0.9424
-4524.0000,324.0000,168.0000,0.0466,0.1880,0.9509
-3910.0000,619.0000,-331.0000,0.0408,0.1570,0.9766
-3712.0000,37.0000,-345.0000,0.0349,0.1233,0.9834
-3067.0000,-62.0000,-457.0000,0.0242,0.1001,0.9810
-2524.0000,-22.0000,-355.0000,0.0012,0.0803,0.9976
-1915.0000,44.0000,110.0000,0.0076,0.0576,0.9700
-1609.0000,-2.0000,-252.0000,0.0325,0.0349,0.9468
-2483.0000,78.0000,-214.0000,0.0339,0.0481,0.9897
-1730.0000,33.0000,124.0000,-0.0071,-0.0105,0.9766
-1056.0000,-42.0000,24.0000,0.0466,-0.0125,1.0486
-314.0000,-85.0000,105.0000,0.0195,0.0103,0.9426
-820.0000,-454.0000,91.0000,0.0171,0.0034,0.9526
-1674.0000,-1147.0000,103.0000,0.0286,-0.0151,1.0217
-74.0000,175.0000,24.0000,0.0354,-0.0125,0.9919
-54.0000,141.0000,96.0000,0.0254,-0.0305,0.9722
-21.0000,75.0000,59.0000,0.0293,-0.0132,0.9758
-53.0000,73.0000,61.0000,0.0286,-0.0071,0.9714
-57.0000,35.0000,62.0000,0.0237,-0.0300,0.9829
-76.0000,30.0000,74.0000,0.0259,-0.0046,0.9536
-43.0000,32.0000,90.0000,0.0312,-0.0127,0.9763
-73.0000,60.0000,96.0000,0.0303,-0.0049,0.9817
-38.0000,42.0000,93.0000,0.0288,-0.0090,0.9937
-132.0000,-242.0000,53.0000,0.0303,0.0100,1.0093
-164.0000,-183.0000,115.0000,0.0454,-0.0046,1.0261
-106.0000,-24.0000,70.0000,0.0164,-0.0059,0.9905
-80.0000,-30.0000,53.0000,0.0261,-0.0066,0.9934
-50.0000,28.0000,43.0000,0.0217,-0.0115,0.9746
-27.0000,21.0000,63.0000,0.0195,-0.0110,0.9729
