comment,45 degrees Down
gyro_xout,gyro_yout,gyro_zout,accel_xout,accel_yout,accel_zout
-315.0000,14.0000,85.0000,0.0137,-0.0110,0.9736
-507.0000,9.0000,30.0000,0.0159,-0.0020,0.9670
-101.0000,-13.0000,62.0000,0.0151,0.0022,0.9468
-105.0000,-41.0000,87.0000,0.0176,-0.0081,0.9731
-68.0000,-6.0000,83.0000,0.0254,-0.0029,0.9792
-69.0000,-14.0000,91.0000,0.0173,-0.0017,0.9812
-89.0000,30.0000,68.0000,0.0042,-0.0120,0.9636
-88.0000,-9.0000,43.0000,0.0256,-0.0078,0.9734
-75.0000,-5.0000,65.0000,0.0178,-0.0283,0.9775
-82.0000,11.0000,83.0000,0.0190,-0.0127,0.9800
-33.0000,71.0000,71.0000,0.0220,-0.0027,0.9692
-40.0000,63.0000,57.0000,0.0193,-0.0107,0.9712
-57.0000,44.0000,67.0000,0.0171,-0.0007,0.9832
-65.0000,255.0000,61.0000,0.0205,-0.0083,0.9795
-79.0000,27.0000,62.0000,0.0237,-0.0156,0.9771
-67.0000,24.0000,58.0000,0.0168,-0.0020,0.9771
-87.0000,29.0000,64.0000,0.0215,-0.0059,0.9705
-77.0000,25.0000,82.0000,0.0181,-0.0090,0.9749
-80.0000,58.0000,43.0000,0.0073,-0.0054,0.9717
-71.0000,-252.0000,77.0000,0.0178,-0.0093,0.9614
-60.0000,1.0000,44.0000,0.0295,-0.0039,0.9780
-60.0000,31.0000,58.0000,0.0215,-0.0051,0.9702
